evaluable_ca,frame_evaluable,frame_has_inversion,frame_index,inverted_ca,path,side,system
26,True,False,5,0,bba_frozen_seed211_p0,raw,bba
26,True,False,6,0,bba_frozen_seed211_p0,raw,bba
26,True,False,7,0,bba_frozen_seed211_p0,raw,bba
26,True,False,8,0,bba_frozen_seed211_p0,raw,bba
26,True,False,9,0,bba_frozen_seed211_p0,raw,bba
26,True,False,10,0,bba_frozen_seed211_p0,raw,bba
26,True,False,11,0,bba_frozen_seed211_p0,raw,bba
26,True,False,12,0,bba_frozen_seed211_p0,raw,bba
26,True,False,13,0,bba_frozen_seed211_p0,raw,bba
26,True,False,14,0,bba_frozen_seed211_p0,raw,bba
26,True,False,15,0,bba_frozen_seed211_p0,raw,bba
26,True,False,16,0,bba_frozen_seed211_p0,raw,bba
26,True,False,17,0,bba_frozen_seed211_p0,raw,bba
26,True,False,18,0,bba_frozen_seed211_p0,raw,bba
26,True,False,19,0,bba_frozen_seed211_p0,raw,bba
26,True,False,20,0,bba_frozen_seed211_p0,raw,bba
26,True,False,21,0,bba_frozen_seed211_p0,raw,bba
26,True,False,22,0,bba_frozen_seed211_p0,raw,bba
26,True,False,23,0,bba_frozen_seed211_p0,raw,bba
26,True,False,24,0,bba_frozen_seed211_p0,raw,bba
26,True,False,25,0,bba_frozen_seed211_p0,raw,bba
26,True,False,26,0,bba_frozen_seed211_p0,raw,bba
26,True,False,27,0,bba_frozen_seed211_p0,raw,bba
26,True,False,28,0,bba_frozen_seed211_p0,raw,bba
26,True,False,29,0,bba_frozen_seed211_p0,raw,bba
26,True,False,30,0,bba_frozen_seed211_p0,raw,bba
26,True,False,31,0,bba_frozen_seed211_p0,raw,bba
26,True,False,32,0,bba_frozen_seed211_p0,raw,bba
26,True,True,0,9,bba_frozen_seed211_p0,relaxed,bba
26,True,True,1,11,bba_frozen_seed211_p0,relaxed,bba
26,True,True,2,9,bba_frozen_seed211_p0,relaxed,bba
26,True,True,3,7,bba_frozen_seed211_p0,relaxed,bba
26,True,True,4,11,bba_frozen_seed211_p0,relaxed,bba
26,True,True,5,8,bba_frozen_seed211_p0,relaxed,bba
26,True,True,6,8,bba_frozen_seed211_p0,relaxed,bba
26,True,True,7,6,bba_frozen_seed211_p0,relaxed,bba
26,True,True,8,5,bba_frozen_seed211_p0,relaxed,bba
26,True,True,9,6,bba_frozen_seed211_p0,relaxed,bba
26,True,True,10,8,bba_frozen_seed211_p0,relaxed,bba
26,True,True,11,11,bba_frozen_seed211_p0,relaxed,bba
26,True,True,12,10,bba_frozen_seed211_p0,relaxed,bba
26,True,True,13,10,bba_frozen_seed211_p0,relaxed,bba
26,True,False,14,0,bba_frozen_seed211_p0,relaxed,bba
26,True,True,15,3,bba_frozen_seed211_p0,relaxed,bba
26,True,True,16,8,bba_frozen_seed211_p0,relaxed,bba
